Date,BZ=F,EURUSD=X,GBPUSD=X,GC=F,HG=F,NG=F,SI=F,USDIDR=X,^GDAXI,^GSPC,^IXIC,^JKSE
2020-11-11,43.79999923706055,1.1818794012069702,1.3261544704437256,1860.699951171875,3.128999948501587,3.0309998989105225,24.250999450683594,14041.544921875,13216.1796875,3572.659912109375,11786.4296875,5509.51318359375
2020-11-12,43.529998779296875,1.1780297756195068,1.3224189281463623,1872.5999755859375,3.1429998874664307,2.9760000705718994,24.290000915527344,13878.9892578125,13052.9501953125,3537.010009765625,11709.58984375,5458.60205078125
2020-11-13,42.779998779296875,1.1803393363952637,1.3121638298034668,1885.699951171875,3.17549991607666,2.994999885559082,24.759000778198242,14133.4912109375,13076.7197265625,3585.14990234375,11829.2900390625,5461.05810546875
2020-11-16,43.81999969482422,1.1845253705978394,1.3220518827438354,1887.300048828125,3.2200000286102295,2.697000026702881,24.785999298095703,14135.5595703125,13138.6103515625,3626.909912109375,11924.1298828125,5494.8720703125
2020-11-17,43.75,1.1859441995620728,1.322209119796753,1884.5,3.196500062942505,2.691999912261963,24.635000228881836,14089.2001953125,13133.4697265625,3609.530029296875,11899.33984375,5529.93994140625
2020-11-18,44.34000015258789,1.186366319656372,1.3259083032608032,1873.5,3.197999954223633,2.7119998931884766,24.433000564575195,14026.451171875,13201.8896484375,3567.7900390625,11801.599609375,5557.51806640625
2020-11-19,44.20000076293945,1.1847639083862305,1.325644612312317,1861.0999755859375,3.2035000324249268,2.5920000076293945,24.033000946044922,14110.2001953125,13086.16015625,3581.8701171875,11904.7099609375,5594.05908203125
2020-11-20,44.959999084472656,1.1866477727890015,1.3249244689941406,1872.5999755859375,3.2934999465942383,2.6500000953674316,24.347999572753906,14189.900390625,13137.25,3557.5400390625,11854.9697265625,5571.65576171875
2020-11-23,46.060001373291016,1.1866477727890015,1.3305126428604126,1837.800048828125,3.259500026702881,2.7109999656677246,23.624000549316406,14150.9912109375,13126.9697265625,3577.590087890625,11880.6298828125,5652.76416015625
2020-11-24,47.86000061035156,1.1842728853225708,1.332906723022461,1804.800048828125,3.299999952316284,2.7750000953674316,23.29199981689453,14164.60546875,13292.4404296875,3635.409912109375,12036.7900390625,5701.02880859375
